query_processed,article_title,paragraph,serp_position,title_common_tokens,num_title_common_tokens,tokens_to_find,paragraph_common_tokens,num_paragraph_common_tokens,paragraph_number_in_article,query_id,data_source,label
lumbar supports lower back pain,Middle back pain,"Middle back pain, also known as thoracic back pain, is back pain that is felt in the region of the thoracic vertebrae, which are between the bottom of the neck and top of the lumbar spine. It has a number of potential causes, ranging from muscle strain to collapse of a vertebra or rare serious diseases. The upper spine is very strong and stable to support the weight of the upper body, as well as to anchor the rib cage which provides a cavity to allow the heart and lungs to function and protect them.",6.0,"['pain', 'back']",2.0,"['lumbar', 'support', 'lower']","['lumbar', 'support']",2.0,0.0,17,2019,0.0
lumbar supports lower back pain,Middle back pain,"The most common causes of upper back pain are unknown but theorized to originate from muscular irritation, intervertebral discs, spinal facet joints, ribs or soft tissue (e.g. ligament/fascia) problems. Commonly intra-scapular pain is referred from the lower cervical spine.  Contributing factors to injury include; lack of strength, poor posture, overuse injuries (such as repetitive motion), or a trauma (such as a car accident or sports injury).  Often thoracic pain can be aggravated twisting, side bending and with prolonged bent spinal postures.A compression fracture of the vertebra can also cause acute and/or chronic pain in the upper back.  Trauma may cause a fracture, but in women over age 50 without significant trauma or someone known to have osteoporosis, a spontaneous vertebral compression fracture is possible.Other, less common causes of thoracic back pain include a spinal disc herniation which often may have radicular pain (wrapping around the ribs associated with numbness and burning pain), spinal tumors and rib fractures may mimic thoracic pain/radicular pain.  Other possible sources of referral pain into the thoracic region include visceral organs like: lungs, gallbladder, stomach, liver duodenum, pleura and cardiac.Middle back pain has long been considered a ""red flag"" to alert healthcare professionals to the possibility of cancer (metastasis or spread to the spine). This is not a sensitive or specific phenomenon and can therefore not be relied upon in isolation.",6.0,"['pain', 'back']",2.0,"['lumbar', 'support', 'lower']",['lower'],1.0,9.0,17,2019,0.0
electrical stimulation male urinary incontinence,Urinary incontinence,"Mixed incontinence involving features of different other typesTreatments include pelvic floor muscle training, bladder training, surgery, and electrical stimulation. Behavioral therapy generally works better than medication for stress and urge incontinence. The benefit of medications is small and long term safety is unclear. Urinary incontinence is more common in older women.",1.0,"['urinary', 'incontinence']",2.0,"['electrical', 'male', 'stimulation']","['electrical', 'stimulation']",2.0,5.0,18,2019,0.0
electrical stimulation male urinary incontinence,Urinary incontinence,"Physical therapy can be effective for women in reducing urinary incontinence.Pelvic floor physical therapists work with patients to identify and treat underlying pelvic muscle dysfunction that can cease urinary incontinence. They may recommend exercises to strengthen the muscles, electrostimulation, or biofeedback treatments. Exercising the muscles of the pelvis such as with Kegel exercises are a first line treatment for women with stress incontinence. Efforts to increase the time between urination, known as bladder training, is recommended in those with urge incontinence. Both these may be used in those with mixed incontinence.Small vaginal cones of increasing weight may be used to help with exercise. They seem to be better than no active treatment in women with stress urinary incontinence, and have similar effects to training of pelvic floor muscles or electrostimulation.Biofeedback uses measuring devices to help the patient become aware of his or her body's functioning. By using electronic devices or diaries to track when the bladder and urethral muscles contract, the patient can gain control over these muscles. Biofeedback can be used with pelvic muscle exercises and electrical stimulation to relieve stress and urge incontinence.Time voiding while urinating and bladder training are techniques that use biofeedback. In time voiding, the patient fills in a chart of voiding and leaking. From the patterns that appear in the chart, the patient can plan to empty his or her bladder before he or she would otherwise leak. Biofeedback and muscle conditioning, known as bladder training, can alter the bladder's schedule for storing and emptying urine. These techniques are effective for urge and overflow incontinenceA 2013 randomized controlled trial found no benefit of adding biofeedback to pelvic floor muscle exercise in stress urinary incontinence, but observing improvements in both groups. In another randomized controlled trial the addition of biofeedback to the training of pelvic floor muscles for the treatment of stress incontinence, improved pelvic floor muscle function, reduced urinary symptoms, and improved the quality of life.Preoperative pelvic floor muscle training (PFMT) in men undergoing radical prostatectomy was not effective in reducing urinary incontinence.Alternative exercises have been studied for stress urinary incontinence in women. Evidence was insufficient to support the use of Paula method, abdominal muscle training, Pilates, Tai Chi, breathing exercises, postural training, and generalized fitness.",1.0,"['urinary', 'incontinence']",2.0,"['electrical', 'male', 'stimulation']","['electrical', 'stimulation']",2.0,88.0,18,2019,0.0
electrical stimulation male urinary incontinence,Fecal incontinence,"Evacuation aids (suppositories or enemas) e.g. glycerine or bisacodyl suppositories may be prescribed. People may have poor resting tone of the anal canal, and consequently may not be able to retain an enema, in which case transanal irrigation (retrograde anal irrigation) may be a better option, as this equipment utilizes an inflatable catheter to prevent loss of the irrigation tip and to provide a water tight seal during irrigation. A volume of lukewarm water is gently pumped into the colon via the anus. People can be taught how to perform this treatment in their own homes, but it does require special equipment. If the irrigation is efficient, stool will not reach the rectum again for up to 48 hours. By regularly emptying the bowel using transanal irrigation, controlled bowel function is often re-established to a high degree in patients with bowel incontinence and/or constipation. This enables control over the time and place of evacuation and development of a consistent bowel routine. However, persistent leaking of residual irrigation fluid during the day may occur and make this option unhelpful, particularly in persons with obstructed defecation syndrome who may have incomplete evacuation of any rectal contents. Consequently, the best time to carry out the irrigation is typically in the evening, allowing any residual liquid to be passed the next morning before leaving the home. Complications such as electrolyte imbalance and perforation are rare. The effect of transanal irrigation varies considerably. Some individuals experience complete control of incontinence, and other report little or no benefit. It has been suggested that if appropriate, people be offered home retrograde anal irrigation.Biofeedback (the use of equipment to record or amplify and then feed back activities of the body) is a commonly used and researched treatment, but the benefits are uncertain. Biofeedback therapy varies in the way it is delivered, but it is unknown if one type has benefits over another.The role of pelvic floor exercises and anal sphincter exercises in FI is poorly determined. While there may be some benefit they appear less useful than implanted sacral nerve stimulators. These exercises aim to increase the strength of the pelvic floor muscles (mainly levator ani). The anal sphincters are not technically part of the pelvic floor muscle group, but the EAS is a voluntary, striated muscle which therefore can be strengthened in a similar manner. It has not been established whether pelvic floor exercises can be distinguished from anal sphincter exercises in practice by the people doing them. This kind of exercise is more commonly used to treat urinary incontinence, for which there is a sound evidence base for effectiveness. More rarely are they used in FI. The effect of anal sphincter exercises are variously stated as an increase in the strength, speed or endurance of voluntary contraction (EAS).Electrical stimulation can also be applied to the anal sphincters and pelvic floor muscles, inducing muscle contraction without traditional exercises (similar to transcutaneous electrical nerve stimulation, TENS). The evidence supporting its use is limited, and any benefit is tentative. In light of the above, intra-anal electrical stimulation (using an anal probe as electrode) appears to be more efficacious than intra-vaginal (using a vaginal probe as electrode). Rarely, skin reactions may occur where the electrodes are placed, but these issues typically resolve when the stimulation is stopped. Surgically implanted sacral nerve stimulation may be more effective than exercises, and electrical stimulation and biofeedback may be more effective than exercises or electrical stimulation by themselves. TENS is also sometimes used to treat FI by transcutaneous tibial nerve stimulation.In a minority of people, anal plugs may be useful for either standalone therapy or in concert with other treatments. Anal plugs (sometimes termed tampons) aim to block involuntary loss of fecal material, and they vary in design and composition. Polyurethane plugs were reported to perform better than those made of polyvinyl-alcohol. Plugs are less likely to help those with frequent bowel movements, and many find them difficult to tolerate.In women, a device that functions as an inflatable balloon in the vagina, has been approved for use in the United States.",2.0,['incontinence'],1.0,"['electrical', 'urinary', 'male', 'stimulation']","['electrical', 'urinary', 'stimulation']",3.0,87.0,18,2019,0.0
electrical stimulation male urinary incontinence,Fecal incontinence,"FI is thought to be very common, but much under-reported due to embarrassment. One study reported a prevalence of 2.2% in the general population. It affects people of all ages, but is more common in older adults (but it should not be considered a normal part of aging). Females are more likely to develop it than males (63% of those with FI over 30 may be female). In 2014, the National Center for Health Statistics reported that one out of every six seniors in the U.S. who lived in their own home or apartment had FI. Men and women were equally affected. 45–50% of people with FI have severe physical and/or mental disabilities. People with dementia are four times more likely to have fecal incontinence compared to people of similar ages.Risk factors include age, female gender, urinary incontinence, history of vaginal delivery (non-Caesarean section childbirth), obesity, prior anorectal surgery, poor general health and physical limitations. Combined urinary and fecal incontinence is sometimes termed double incontinence, and it is more likely to be present in those with urinary incontinence.Traditionally, FI was thought to be an insignificant complication of surgery, but it is now known that a variety of different procedures are associated with this possible complication, and sometimes at high levels. Examples are midline internal sphincterotomy (8% risk), lateral internal sphincterotomy, fistulectomy, fistulotomy (18-52%), hemorrhoidectomy (33%), ileo-anal reservoir reconstruction, lower anterior resection, total abdominal colectomy, ureterosigmoidostomy, and anal dilation (Lord's procedure, 0-50%). Some authors consider obstetric trauma to be the most common cause.",2.0,['incontinence'],1.0,"['electrical', 'urinary', 'male', 'stimulation']","['urinary', 'male']",2.0,96.0,18,2019,0.0
honey children cough,Cough,"The treatment of a cough in children is based on the underlying cause. In children half of cases go away without treatment in 10 days and 90% in 25 days.According to the American Academy of Pediatrics the use of cough medicine to relieve cough symptoms is supported by little evidence and thus not recommended for treating cough symptoms in children. There is tentative evidence that the use of honey is better than no treatment or diphenhydramine in decreasing coughing. It does not alleviate coughing to the same extent as dextromethorphan but it shortens the cough duration better than placebo and salbutamol. A trial of antibiotics or inhaled corticosteroids may be tried in children with a chronic cough in an attempt to treat protracted bacterial bronchitis or asthma respectively. There is insufficient evidence to recommend treating children who have a cough that is not related to a specific condition with inhaled anti-cholinergics.Because coughing can spread disease through infectious aerosol droplets, it is recommended to cover one's mouth and nose with the forearm, the inside of the elbow, a tissue or a handkerchief while coughing.",1.0,['cough'],1.0,"['child', 'honey']","['child', 'honey']",2.0,81.0,19,2019,1.0
honey children cough,Cough,"A cough in children may be either a normal physiological reflex or due to an underlying cause. In healthy children it may be normal in the absence of any disease to cough ten times a day. The most common cause of an acute or subacute cough is a viral respiratory tract infection. In adults with a chronic cough, i.e. a cough longer than 8 weeks, more than 90% of cases are due to post-nasal drip, asthma, eosinophilic bronchitis, and gastroesophageal reflux disease. The causes of chronic cough are similar in children with the addition of bacterial bronchitis.",1.0,['cough'],1.0,"['child', 'honey']",['child'],1.0,12.0,19,2019,1.0
steroids spinal cord injury,Spinal stenosis,"Spinal stenosis is an abnormal narrowing of the spinal canal or neural foramen that results in pressure on the spinal cord or nerve roots. Symptoms may include pain, numbness, or weakness in the arms or legs. Symptoms are typically gradual in onset and improve with leaning forward. Severe symptoms may include loss of bladder control, loss of bowel control, or sexual dysfunction.Causes may include osteoarthritis, rheumatoid arthritis, spinal tumors, trauma, Paget's disease of the bone, scoliosis, spondylolisthesis, and the genetic condition achondroplasia. It can be classified by the part of the spine affected into cervical, thoracic, and lumbar stenosis. Lumbar stenosis is the most common, followed by cervical stenosis. Diagnosis is generally based on symptoms and medical imaging.Treatment may involve medications, bracing, or surgery. Medications may include NSAIDs, acetaminophen, or steroid injections. Stretching and strengthening exercises may also be useful. Limiting certain activities may be recommended. Surgery is typically only done if other treatments are not effective, with the usual procedure being a decompressive laminectomy.Spinal stenosis occurs in as many as 8% of people. It occurs most commonly in people over the age of 50. Males and females are affected equally often. The first modern description of the condition is from 1803 by Antoine Portal, and there is evidence of the condition dating back to Ancient Egypt.",2.0,['spinal'],1.0,"['steroid', 'cord', 'injury']","['steroid', 'cord']",2.0,0.0,20,2019,1.0
steroids spinal cord injury,Spinal stenosis,Patients with cervical myelopathy caused by narrowing of the spinal canal are at higher risks of acute spinal cord injury if involved in accidents.,2.0,['spinal'],1.0,"['steroid', 'cord', 'injury']","['cord', 'injury']",2.0,61.0,20,2019,1.0
steroids spinal cord injury,Spinal cord,"The two areas of the spinal cord most commonly injured are the cervical spine (C1–C7) and the lumbar spine (L1–L5). (The notation C1, C7, L1, L5 refer to the location of a specific vertebra in either the cervical, thoracic, or lumbar region of the spine.)  Spinal cord injury can also be non-traumatic and caused by disease (transverse myelitis, polio, spina bifida, Friedreich's ataxia, spinal cord tumor, spinal stenosis etc.)Globally, it is expected there are around 40 to 80 cases of spinal cord injury per million population, and approximately 90% of these cases result from traumatic events.Real or suspected spinal cord injuries need immediate immobilisation including that of the head. Scans will be needed to assess the injury.  A steroid, methylprednisolone, can be of help as can physical therapy and possibly antioxidants. Treatments need to focus on limiting post-injury cell death, promoting cell regeneration, and replacing lost cells. Regeneration is facilitated by maintaining electric transmission in neural elements.",3.0,"['cord', 'spinal']",2.0,"['steroid', 'injury']","['steroid', 'injury']",2.0,82.0,20,2019,1.0
steroids spinal cord injury,Spinal cord,"Spinal cord injuries can be caused by trauma to the spinal column (stretching, bruising, applying pressure, severing, laceration, etc.).  The vertebral bones or intervertebral disks can shatter, causing the spinal cord to be punctured by a sharp fragment of bone. Usually, victims of spinal cord injuries will suffer loss of feeling in certain parts of their body. In milder cases, a victim might only suffer loss of hand or foot function. More severe injuries may result in paraplegia, tetraplegia (also known as quadriplegia), or full body paralysis below the site of injury to the spinal cord.",3.0,"['cord', 'spinal']",2.0,"['steroid', 'injury']",['injury'],1.0,79.0,20,2019,1.0
steroids spinal cord injury,Spinal disc herniation,"Spinal disc herniation is an injury to the cushioning and connective tissue between vertebrae, usually caused by excessive strain or trauma to the spine. It may result in back pain, pain or sensation in different parts of the body, and physical disability. The most conclusive diagnostic tool for disc herniation is MRI, and treatment may range from painkillers to surgery. Protection from disc herniation is best provided by core strength and an awareness of body mechanics including posture.When a tear in the outer, fibrous ring of an intervertebral disc allows the soft, central portion to bulge out beyond the damaged outer rings, the disc is said to be herniated.",4.0,['spinal'],1.0,"['steroid', 'cord', 'injury']",['injury'],1.0,0.0,20,2019,1.0
steroids spinal cord injury,Spinal disc herniation,"The majority of spinal disc herniations occur in the lumbar spine (95% at L4–L5 or L5–S1). The second most common site is the cervical region (C5–C6, C6–C7). The thoracic region accounts for only 1–2% of cases. Herniations usually occur postero-laterally, at the points where the annulus fibrosus is relatively thin and is not reinforced by the posterior or anterior longitudinal ligament. In the cervical spine, a symptomatic postero-lateral herniation between two vertebrae will impinge on the nerve which exits the spinal canal between those two vertebrae on that side. So, for example, a right postero-lateral herniation of the disc between vertebrae C5 and C6 will impinge on the right C6 spinal nerve. The rest of the spinal cord, however, is oriented differently, so a symptomatic postero-lateral herniation between two vertebrae will impinge on the nerve exiting at the next intervertebral level down.",4.0,['spinal'],1.0,"['steroid', 'cord', 'injury']",['cord'],1.0,16.0,20,2019,1.0
steroids spinal cord injury,Spinal anaesthesia,"In spinal anesthesia, the needle is placed past the dura mater in subarachnoid space and between lumbar vertebrae. In order to reach this space, the needle must pierce through several layers of tissue and ligaments which include the supraspinous ligament, interspinous ligament, and ligamentum flavum. Because the spinal cord (conus medullaris) is typically at the L1 or L2 level of the spine, the needle should be inserted below this between L3 and L4 space or L4 and L5 space in order to avoid injury to the spinal cord.",5.0,['spinal'],1.0,"['steroid', 'cord', 'injury']","['cord', 'injury']",2.0,60.0,20,2019,1.0
steroids spinal cord injury,Spinal anaesthesia,"Nerve injuries: Cauda equina syndrome, radiculopathy",5.0,['spinal'],1.0,"['steroid', 'cord', 'injury']",['injury'],1.0,47.0,20,2019,1.0
steroids spinal cord injury,Lumbar spinal stenosis,"The precise cause of LSS is unclear. Narrowing of spinal structures in the spinal cord such as the central canal, the lateral recesses, or the intervertebral foramen (the opening where a spinal nerve root passes) must be present, but are not sufficient to cause LSS alone. Many people who undergo MRI imaging are found to have such changes but have no symptoms. These changes are commonly seen in people who have spinal degeneration that occurs with aging (e.g., spinal disc herniation). LSS may also be caused by osteophytes, osteoporosis, a tumor, trauma, or various skeletal dysplasias, such as with pseudoachondroplasia and achondroplasia.",7.0,['spinal'],1.0,"['steroid', 'cord', 'injury']",['cord'],1.0,1.0,20,2019,1.0
steroids spinal cord injury,Lumbar spinal stenosis,"Understanding the meaning of signs and symptoms of lumbar stenosis requires an understanding of what the syndrome is, and the prevalence of the condition. A review of lumbar stenosis in the Journal of the American Medical Association's ""Rational Clinical Examination Series"" emphasized that the syndrome can be considered when lower extremity pain occurs in combination with back pain. The syndrome occurs in 12% of older community-dwelling men and up to 21% of those in retirement communities.Because the leg symptoms in lumbar spinal stenosis (LSS) are similar to those found with vascular claudication, the term pseudoclaudication is often used for symptoms of LSS.  These symptoms include pain, weakness, and tingling of the legs, which may radiate down the legs to the feet.  Additional symptoms in the legs may be fatigue, heaviness, weakness, a sensation of tingling, pricking, or numbness, and leg cramps, as well as bladder symptoms. Symptoms are most commonly bilateral and symmetrical, but they may be unilateral; leg pain is usually more troubling than back pain.Pseudoclaudication, now generally referred to as neurogenic claudication, typically worsens with standing or walking, and improves with sitting, and is often related to posture and lumbar extension.  Lying on the side is often more comfortable than lying flat, since it permits greater lumbar flexion. Vascular claudication can resemble spinal stenosis, and some individuals experience unilateral or bilateral symptoms radiating down the legs rather than true claudication.The first symptoms of stenosis include bouts of low back pain. After a few months or years, this may progress to claudication. The pain may be radicular, following the classic neurologic pathways. This occurs as the spinal nerves or spinal cord become increasingly trapped in a smaller space within the canal. Determining whether pain in the elderly is caused by lack of blood supply or stenosis is difficult; testing can usually differentiate between them, but patients can have both vascular disease in the legs and spinal stenosis.Among people with lower-extremity pain in combination with back pain, lumbar stenosis as the cause is two times more likely in those older than 70 years of age while in those younger than 60 years it is less than half as likely. The character of the pain is also useful for diagnosis. When the discomfort does not occur while seated, the likelihood of lumbar spinal stenosis increases considerably, around 7.4 times. Other features increasing the likelihood of lumbar stenosis are improvement in symptoms on bending forward (6.4 times), pain that occurs in both buttocks or legs (6.3 times), and the presence of neurogenic claudication (3.7 times). On the other hand, the absence of neurogenic claudication makes lumbar stenosis much less likely as the explanation for the pain.",7.0,['spinal'],1.0,"['steroid', 'cord', 'injury']",['cord'],1.0,6.0,20,2019,1.0
hydroxyzine generalized anxiety disorder,Generalized anxiety disorder,Hydroxyzine (H1 receptor antagonist),1.0,"['anxiety', 'generalized', 'disorder']",3.0,['hydroxyzine'],['hydroxyzine'],1.0,120.0,22,2019,0.0
hydroxyzine generalized anxiety disorder,Hydroxyzine,"Hydroxyzine is used in the treatment of itchiness, anxiety, and nausea due to motion sickness.A systematic review concluded that hydroxyzine outperforms placebo in treating generalized anxiety disorder. Insufficient data were available to compare the drug with benzodiazepines and buspirone.Hydroxyzine can also be used for the treatment of allergic conditions, such as chronic urticaria, atopic or contact dermatoses, and histamine-mediated pruritus. These have also been confirmed in both recent and past studies to have no adverse effects on the liver, blood, nervous system, or urinary tract.Use of hydroxyzine for premedication as a sedative has no effects on tropane alkaloids, such as atropine, but may, following general anesthesia, potentiate meperidine and barbiturates, and use in pre-anesthetic adjunctive therapy should be modified depending upon the state of the individual.Hydroxyzine is used as a non-barbiturate tranquilizer and for the treatment of neurological disorders, such as psychoneurosis and other forms of anxiety or tension states.Doses of hydroxyzine hydrochloride used for sleep range from 25 to 100 mg.",3.0,['hydroxyzine'],1.0,"['anxiety', 'generalized', 'disorder']","['anxiety', 'generalized', 'disorder']",3.0,4.0,22,2019,0.0
hydroxyzine generalized anxiety disorder,Hydroxyzine,"Hydroxyzine, sold under the brand names Atarax, Vistaril and others, is an antihistamine medication. It is used in the treatment of itchiness, anxiety, and nausea, including that due to motion sickness. It is used either by mouth or injection into a muscle.Common side effects include sleepiness, headache, and a dry mouth. Serious side effects may include QT prolongation. It is unclear if use during pregnancy or breastfeeding is safe. Hydroxyzine works by blocking the effects of histamine. It is a first-generation antihistamine in the piperazine family of chemicals.It was first made by Union Chimique Belge in 1956 and was approved for sale by Pfizer in the United States later that year. In 2019, it was the 75th most commonly prescribed medication in the United States, with more than 9 million prescriptions.",3.0,['hydroxyzine'],1.0,"['anxiety', 'generalized', 'disorder']",['anxiety'],1.0,0.0,22,2019,0.0
antibiotics whooping cough,Whooping cough,"Whooping cough, also known as pertussis or the 100-day cough, is a highly contagious bacterial disease. Initial symptoms are usually similar to those of the common cold with a runny nose, fever, and mild cough, but these are followed by two or three months of severe coughing fits. Following a fit of coughing, a high-pitched whoop sound or gasp may occur as the person breathes in. The violent coughing may last for 10 or more weeks, hence the phrase ""100-day cough"". A person may cough so hard that they vomit, break ribs, or become very tired from the effort. Children less than one year old may have little or no cough and instead have periods where they can not breathe. The time between infection and the onset of symptoms is usually seven to ten days. Disease may occur in those who have been vaccinated, but symptoms are typically milder.Pertussis is caused by the bacterium Bordetella pertussis. It is spread easily through the coughs and sneezes of an infected person. People are infectious from the start of symptoms until about three weeks into the coughing fits. Those treated with antibiotics are no longer infectious after five days. Diagnosis is by collecting a sample from the back of the nose and throat. This sample can then be tested by either culture or by polymerase chain reaction.Prevention is mainly by vaccination with the pertussis vaccine. Initial immunization is recommended between six and eight weeks of age, with four doses to be given in the first two years of life. Protection from pertussis decreases over time, so additional doses of vaccine are often recommended for older children and adults. Vaccination during pregnancy is highly effective at protecting the infant from pertussis during their vulnerable early months of life, and is recommended in many countries. Antibiotics may be used to prevent the disease in those who have been exposed and are at risk of severe disease. In those with the disease, antibiotics are useful if started within three weeks of the initial symptoms, but otherwise have little effect in most people. In pregnant women and children less than one year old, antibiotics are recommended within six weeks of symptom onset. Antibiotics used include erythromycin, azithromycin, clarithromycin, or trimethoprim/sulfamethoxazole. Evidence to support interventions for the cough, other than antibiotics, is poor. About 50% of infected children less than a year old require hospitalization and nearly 0.5% (1 in 200) die.An estimated 16.3 million people worldwide were infected in 2015. Most cases occur in the developing world, and people of all ages may be affected. In 2015, pertussis resulted in 58,700 deaths – down from 138,000 deaths in 1990. Outbreaks of the disease were first described in the 16th century. The bacterium that causes the infection was discovered in 1906. The pertussis vaccine became available in the 1940s.",1.0,"['cough', 'whooping']",2.0,['antibiotic'],['antibiotic'],1.0,0.0,28,2019,1.0
antibiotics whooping cough,Whooping cough,"The primary method of prevention for pertussis is vaccination. Evidence is insufficient to determine the effectiveness of antibiotics in those who have been exposed, but are without symptoms. Preventive antibiotics, however, are still frequently used in those who have been exposed and are at high risk of severe disease (such as infants).",1.0,"['cough', 'whooping']",2.0,['antibiotic'],['antibiotic'],1.0,42.0,28,2019,1.0
antibiotics whooping cough,Cough,"The type of cough may help in the diagnosis. For instance, an inspiratory ""whooping"" sound on coughing almost doubles the likelihood that the illness is pertussis.",3.0,['cough'],1.0,"['antibiotic', 'whooping']",['whooping'],1.0,72.0,28,2019,1.0
antibiotics whooping cough,Cough,"The treatment of a cough in children is based on the underlying cause. In children half of cases go away without treatment in 10 days and 90% in 25 days.According to the American Academy of Pediatrics the use of cough medicine to relieve cough symptoms is supported by little evidence and thus not recommended for treating cough symptoms in children. There is tentative evidence that the use of honey is better than no treatment or diphenhydramine in decreasing coughing. It does not alleviate coughing to the same extent as dextromethorphan but it shortens the cough duration better than placebo and salbutamol. A trial of antibiotics or inhaled corticosteroids may be tried in children with a chronic cough in an attempt to treat protracted bacterial bronchitis or asthma respectively. There is insufficient evidence to recommend treating children who have a cough that is not related to a specific condition with inhaled anti-cholinergics.Because coughing can spread disease through infectious aerosol droplets, it is recommended to cover one's mouth and nose with the forearm, the inside of the elbow, a tissue or a handkerchief while coughing.",3.0,['cough'],1.0,"['antibiotic', 'whooping']",['antibiotic'],1.0,81.0,28,2019,1.0
antibiotics whooping cough,Chronic cough,"Infections such as pneumonia, flu, cold, tuberculosis or other infections in the upper respiratory tract often include coughing that can persist even after the infection has subsided. Chronic cough is commonly mistaken as a symptom of the infection known as whooping cough.",4.0,['cough'],1.0,"['antibiotic', 'whooping']",['whooping'],1.0,17.0,28,2019,1.0
antibiotics whooping cough,Chronic cough,"By diagnosing which type of cough is present, individuals may further identify the cause of the chronic cough. These coughing types include the following. A dry cough is a persistent cough where no mucus is present; this can be a sign of an infection. A chronic wet cough is a cough where excess mucus is present; depending on the colour of the phlegm, bacterial infections may be present. A stress cough is when the airways of the throat are blocked to the point that it causes a reflexive spasm. A whooping cough is when a ‘whooping’ sound is present; this is a normally an indication of infection.",4.0,['cough'],1.0,"['antibiotic', 'whooping']",['whooping'],1.0,53.0,28,2019,1.0
antibiotics children pneumonia,Community-acquired pneumonia,"Treatment of CAP in children depends on the child's age and the severity of illness. Children under five are not usually treated for atypical bacteria. If hospitalization is not required, a seven-day course of amoxicillin is often prescribed, with co-trimaxazole as an alternative when there is allergy to penicillins. Further studies are needed to confirm the efficacy of newer antibiotics.  With the increase in drug-resistant Streptococcus pneumoniae, antibiotics such as cefpodoxime may become more popular. Hospitalized children receive intravenous ampicillin, ceftriaxone or cefotaxime, and a recent study found that a three-day course of antibiotics seems sufficient for most mild-to-moderate CAP in children.",1.0,['pneumonia'],1.0,"['child', 'antibiotic']","['child', 'antibiotic']",2.0,116.0,29,2019,1.0
antibiotics children pneumonia,Community-acquired pneumonia,"CAP, the most common type of pneumonia, is a leading cause of illness and death worldwide. Its causes include bacteria, viruses, fungi and parasites. CAP is diagnosed by assessing symptoms, performing a physical examination, by x-ray or by sputum examination. Patients with CAP sometimes require hospitalization, and it is treated primarily with antibiotics, antipyretics and cough medicine. Some forms of CAP can be prevented by vaccination and by abstaining from tobacco products.",1.0,['pneumonia'],1.0,"['child', 'antibiotic']",['antibiotic'],1.0,1.0,29,2019,1.0
antibiotics children pneumonia,Pneumonia,"Pneumonitis refers to lung inflammation; pneumonia refers to pneumonitis, usually due to infection but sometimes non-infectious, that has the additional feature of pulmonary consolidation. Pneumonia is most commonly classified by where or how it was acquired: community-acquired, aspiration, healthcare-associated, hospital-acquired, and ventilator-associated pneumonia. It may also be classified by the area of the lung affected: lobar pneumonia, bronchial pneumonia and acute interstitial pneumonia; or by the causative organism. Pneumonia in children may additionally be classified based on signs and symptoms as non-severe, severe, or very severe.The setting in which pneumonia develops is important to treatment, as it correlates to which pathogens are likely suspects, which mechanisms are likely, which antibiotics are likely to work or fail, and which complications can be expected based on the person's health status.",2.0,['pneumonia'],1.0,"['child', 'antibiotic']","['child', 'antibiotic']",2.0,83.0,29,2019,1.0
antibiotics children pneumonia,Pneumonia,"Smoking cessation and reducing indoor air pollution, such as that from cooking indoors with wood, crop residues or dung, are both recommended. Smoking appears to be the single biggest risk factor for pneumococcal pneumonia in otherwise-healthy adults. Hand hygiene and coughing into one's sleeve may also be effective preventative measures. Wearing surgical masks by the sick may also prevent illness.Appropriately treating underlying illnesses (such as HIV/AIDS, diabetes mellitus, and malnutrition) can decrease the risk of pneumonia. In children less than 6 months of age, exclusive breast feeding reduces both the risk and severity of disease. In people with HIV/AIDS and a CD4 count of less than 200 cells/uL the antibiotic trimethoprim/sulfamethoxazole decreases the risk of Pneumocystis pneumonia and is also useful for prevention in those that are immunocompromised but do not have HIV.Testing pregnant women for Group B Streptococcus and Chlamydia trachomatis, and administering antibiotic treatment, if needed, reduces rates of pneumonia in infants; preventive measures for HIV transmission from mother to child may also be efficient. Suctioning the mouth and throat of infants with meconium-stained amniotic fluid has not been found to reduce the rate of aspiration pneumonia and may cause potential harm, thus this practice is not recommended in the majority of situations. In the frail elderly good oral health care may lower the risk of aspiration pneumonia. Zinc supplementation in children 2 months to five years old appears to reduce rates of pneumonia.For people with low levels of vitamin C in their diet or blood, taking vitamin C supplements may be suggested to decrease the risk of pneumonia, although there is no strong evidence of benefit. There is insufficient evidence to recommend that the general population take vitamin C to prevent or treat pneumonia.For adults and children in the hospital who require a respirator, there is no strong evidence indicating a difference between heat and moisture exchangers and heated humidifiers for preventing pneumonia. There is no good evidence that one approach to mouth care is better than others in preventing nursing home acquired pneumonia. There is tentative evidence that laying flat on the back compared to semi-raised increases pneumonia risks in people who are intubated.",2.0,['pneumonia'],1.0,"['child', 'antibiotic']","['child', 'antibiotic']",2.0,114.0,29,2019,1.0
antibiotics children pneumonia,Atypical pneumonia,No response to common antibiotics such as sulfonamide and beta-lactams like penicillin.,4.0,['pneumonia'],1.0,"['child', 'antibiotic']",['antibiotic'],1.0,7.0,29,2019,1.0
antibiotics children pneumonia,Atypical pneumonia,"This is occult pneumonia. In general, occult pneumonia is rather often present in patients with pneumonia and can also be caused by Streptococcus pneumoniae, as the decrease of occult pneumonia after vaccination of children with a pneumococcal vaccine suggests.Infiltration commonly begins in the perihilar region (where the bronchus begins) and spreads in a wedge- or fan-shaped fashion toward the periphery of the lung field. The process most often involves the lower lobe, but may affect any lobe or combination of lobes.",4.0,['pneumonia'],1.0,"['child', 'antibiotic']",['child'],1.0,39.0,29,2019,1.0
